,image_id,type,question,answer,address,prediction
0,synpic54082,modality,modality shown?,cta - ct angiography,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic54082.jpg,ct noncontrast
1,synpic48556,modality,mri taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic48556.jpg,no
2,synpic50696,modality,type contrast patient have?,iv,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic50696.jpg,ct with iv contrast
3,synpic37194,modality,imaging method used?,us-d - doppler ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic37194.jpg,us - ultrasound
4,synpic31308,modality,modality shown?,an - angiogram,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic31308.jpg,mra - mr angiography/venography
5,synpic24739,modality,mr weighting image?,t2,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24739.jpg,t2
6,synpic32365,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic32365.jpg,no
7,synpic47936,modality,type contrast patient have?,gi and iv,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic47936.jpg,gi and iv
8,synpic29792,modality,iv contrast given patient?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic29792.jpg,yes
9,synpic43561,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic43561.jpg,yes
10,synpic40732,modality,imaging modality used take image?,mr - flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40732.jpg,mr - flair
11,synpic33904,modality,ct scan taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic33904.jpg,no
12,synpic39583,modality,noncontrast mri?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic39583.jpg,no
13,synpic39568,modality,type image modality seen?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic39568.jpg,xr - plain film
14,synpic27024,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic27024.jpg,yes
15,synpic25155,modality,"image modality t1, t2, flair?",flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic25155.jpg,t2
16,synpic52493,modality,type imaging this?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic52493.jpg,an - angiogram
17,synpic53941,modality,imaging modality used take image?,ct with iv contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic53941.jpg,ct noncontrast
18,synpic58343,modality,imaging modality used take image?,mr - t1w w/gadolinium,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic58343.jpg,mr - flair
19,synpic48150,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic48150.jpg,yes
20,synpic26892,modality,gi contrast given patient?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic26892.jpg,no
21,synpic48805,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic48805.jpg,yes
22,synpic41996,modality,noncontrast mri?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic41996.jpg,no
23,synpic52901,modality,"t1 weighted, t2 weighted, flair image?",t2,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic52901.jpg,t2
24,synpic26702,modality,mri image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic26702.jpg,no
25,synpic36075,modality,ct scan?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic36075.jpg,no
26,synpic15874,modality,noncontrast ct?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic15874.jpg,yes
27,synpic28538,modality,modality shown?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic28538.jpg,mr - pdw proton density
28,synpic45924,modality,image modality this?,mr - flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic45924.jpg,mr - flair
29,synpic24458,modality,imaging modality used take image?,ct with gi and iv contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24458.jpg,ct with iv contrast
30,synpic34139,modality,image taken with?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic34139.jpg,mr - pdw proton density
31,synpic58746,modality,contrast noncontrast ct?,contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic58746.jpg,noncontrast
32,synpic36276,modality,t1 weighted image?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic36276.jpg,yes
33,synpic46949,modality,imaging modality used acquire picture?,us - ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic46949.jpg,us - ultrasound
34,synpic60018,modality,"image modality t1, t2, flair?",t2,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic60018.jpg,t2
35,synpic14955,modality,type imaging modality shown?,ct w/contrast (iv),/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic14955.jpg,gi and iv
36,synpic38267,modality,mri taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic38267.jpg,yes
37,synpic18809,modality,type imaging modality shown?,ct w/contrast (iv),/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic18809.jpg,mr - pdw proton density
38,synpic55706,modality,t2 weighted image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic55706.jpg,no
39,synpic51206,modality,mri image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51206.jpg,no
40,synpic46829,modality,noncontrast ct?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic46829.jpg,yes
41,synpic24706,modality,gi contrast given patient?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24706.jpg,no
42,synpic22377,modality,imaging modality used?,an - angiogram,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic22377.jpg,an - angiogram
43,synpic43979,modality,imaging modality used acquire picture?,us - ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic43979.jpg,us - ultrasound
44,synpic32831,modality,noncontrast ct?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic32831.jpg,no
45,synpic33285,modality,ct scan taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic33285.jpg,yes
46,synpic55100,modality,ct scan taken contrast?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic55100.jpg,no
47,synpic48384,modality,type imaging represent?,cta - ct angiography,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic48384.jpg,ct - gi & iv contrast
48,synpic59289,modality,type contrast patient have?,iv,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic59289.jpg,ct with iv contrast
49,synpic54975,modality,noncontrast mri?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic54975.jpg,yes
50,synpic51170,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51170.jpg,yes
51,synpic40069,modality,contrast noncontrast ct?,noncontrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40069.jpg,noncontrast
52,synpic51160,modality,image taken?,mr - flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51160.jpg,mr - flair
53,synpic18560,modality,contrast noncontrast ct?,contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic18560.jpg,contrast
54,synpic51606,modality,kind scan this?,an - angiogram,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51606.jpg,xr - plain film
55,synpic19859,modality,type imaging modality seen image?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic19859.jpg,bas - barium swallow
56,synpic27747,modality,noncontrast ct?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic27747.jpg,no
57,synpic13384,modality,type image modality seen?,mammograph,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic13384.jpg,mr - dwi diffusion weighted
58,synpic59702,modality,noncontrast mri?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic59702.jpg,no
59,synpic60197,modality,iv contrast given patient?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic60197.jpg,yes
60,synpic56425,modality,type image modality seen?,an - angiogram,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic56425.jpg,an - angiogram
61,synpic33295,modality,modality used take image?,ugi - upper gi,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic33295.jpg,bas - barium swallow
62,synpic43772,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic43772.jpg,yes
63,synpic56394,modality,imaging modality used take image?,mr - t2 weighted,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic56394.jpg,mr - t2 weighted
64,synpic28138,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic28138.jpg,yes
65,synpic31469,modality,contrast noncontrast ct?,contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic31469.jpg,contrast
66,synpic35155,modality,imaging modality used take image?,ct with gi and iv contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic35155.jpg,ct with gi and iv contrast
67,synpic40333,modality,image taken?,us - ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40333.jpg,us - ultrasound
68,synpic41011,modality,t2 weighted image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic41011.jpg,no
69,synpic51202,modality,imaging modality used take image?,ct noncontrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51202.jpg,ct noncontrast
70,synpic44800,modality,contrast noncontrast ct?,contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic44800.jpg,contrast
71,synpic59851,modality,image taken?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic59851.jpg,xr - plain film
72,synpic35747,modality,imaging modality used take image?,mr - t2 weighted,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic35747.jpg,mr - flair
73,synpic54150,modality,imaging modality used take image?,mr - t1w w/gadolinium,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic54150.jpg,mr - t1w - noncontrast
74,synpic25024,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic25024.jpg,no
75,synpic45935,modality,contrast noncontrast ct?,contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic45935.jpg,contrast
76,synpic19086,modality,imaging modality used take image?,ct noncontrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic19086.jpg,ct with gi and iv contrast
77,synpic35578,modality,noncontrast mri?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic35578.jpg,yes
78,synpic51767,modality,imaging modality used take image?,ct with gi and iv contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51767.jpg,ct with gi and iv contrast
79,synpic27197,modality,gi contrast given patient?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic27197.jpg,no
80,synpic44430,modality,contrast noncontrast mri?,contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic44430.jpg,noncontrast
81,synpic46964,modality,modality image taken?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic46964.jpg,mr - pdw proton density
82,synpic41979,modality,type imaging modality shown?,ugi - upper gi,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic41979.jpg,an - angiogram
83,synpic32773,modality,type image modality this?,us - ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic32773.jpg,us - ultrasound
84,synpic31285,modality,mri image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic31285.jpg,no
85,synpic40440,modality,gi contrast given patient?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40440.jpg,yes
86,synpic22366,modality,image modality this?,us - ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic22366.jpg,us - ultrasound
87,synpic100408,modality,type image modality this?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic100408.jpg,xr - plain film
88,synpic50733,modality,noncontrast ct?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic50733.jpg,no
89,synpic49262,modality,t2 weighted image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic49262.jpg,no
90,synpic27752,modality,imaging modality used acquire picture?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic27752.jpg,xr - plain film
91,synpic53951,modality,mri taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic53951.jpg,no
92,synpic24501,modality,type imaging modality shown?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24501.jpg,xr - plain film
93,synpic52497,modality,t2 weighted image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic52497.jpg,no
94,synpic47924,modality,type imaging modality used acquire image?,ugi - upper gi,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic47924.jpg,xr - plain film
95,synpic18213,modality,imaging method used?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic18213.jpg,xr - plain film
96,synpic34909,modality,noncontrast mri?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic34909.jpg,no
97,synpic56154,modality,t1 weighted image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic56154.jpg,no
98,synpic39585,modality,"t1 weighted, t2 weighted, flair image?",t2,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic39585.jpg,t1
99,synpic16994,modality,"t1 weighted, t2 weighted, flair image?",flair,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic16994.jpg,t1
100,synpic51407,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51407.jpg,yes
101,synpic37609,modality,modality shown?,mr - adc map (app diff coeff),/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic37609.jpg,mr - dwi diffusion weighted
102,synpic27432,modality,type imaging modality shown?,ct w/contrast (iv),/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic27432.jpg,mr - pdw proton density
103,synpic28715,modality,ct scan taken contrast?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic28715.jpg,yes
104,synpic53600,modality,t2 weighted image?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic53600.jpg,no
105,synpic40697,modality,ct scan?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40697.jpg,yes
106,synpic41589,modality,imaging modality used take image?,ct with iv contrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic41589.jpg,ct with iv contrast
107,synpic24310,modality,noncontrast ct?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24310.jpg,yes
108,synpic51770,modality,gi contrast given patient?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51770.jpg,no
109,synpic47890,modality,imaging modality used take image?,ct noncontrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic47890.jpg,mr - t2 weighted
110,synpic40127,modality,mr weighting image?,t1,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic40127.jpg,t1
111,synpic37634,modality,noncontrast mri?,no,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic37634.jpg,no
112,synpic26922,modality,type imaging modality shown?,us - ultrasound,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic26922.jpg,us - ultrasound
113,synpic37740,modality,"t1 weighted, t2 weighted, flair image?",t1,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic37740.jpg,t1
114,synpic28890,modality,contrast noncontrast ct?,noncontrast,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic28890.jpg,contrast
115,synpic49513,modality,imaging modality used take image?,mr - t1w w/gadolinium,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic49513.jpg,mr - flair
116,synpic52133,modality,kind scan this?,an - angiogram,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic52133.jpg,bas - barium swallow
117,synpic24258,modality,ct scan?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic24258.jpg,yes
118,synpic21334,modality,mri image?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic21334.jpg,no
119,synpic45842,modality,t1 weighted image?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic45842.jpg,no
120,synpic37595,modality,type imaging modality shown?,xr - plain film,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic37595.jpg,xr - plain film
121,synpic55335,modality,mri image?,yes,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic55335.jpg,no
122,synpic56130,plane,plane ct scan?,3d reconstruction,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic56130.jpg,coronal
123,synpic21435,plane,plane ct scan?,axial,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic21435.jpg,axial
124,synpic39252,plane,imaging plane depicted here?,axial,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic39252.jpg,axial
125,synpic23785,plane,plane ct scan?,axial,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic23785.jpg,axial
126,synpic58323,plane,plane mri captured?,axial,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic58323.jpg,axial
127,synpic51449,plane,plane image taken?,axial,/kaggle/input/vqa-med-2019/VQA-Med-2019/VQAMed2019Test/VQAMed2019_Test_Images/synpic51449.jpg,axial
